SMILES,Y_ld50_zhu,source
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327,tdc
c1ccc(-c2ccccc2)cc1,1.808,tdc
c1ccc(N=Nc2ccccc2)cc1,2.261,tdc
c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574,tdc
c1ccc(-c2ccccn2)nc1,3.194,tdc
c1ccc2cnccc2c1,2.555,tdc
c1ccccc1,1.3730000000000002,tdc
c1ccncc1,1.948,tdc
c1ccc2c(c1)-c1cccc3cccc-2c13,2.005,tdc
c1ccc2ncccc2c1,2.591,tdc
c1cc2ccc3cccc4ccc(c1)c2c34,1.875,tdc
c1ccc2ccccc2c1,2.418,tdc
C1=CC=CCC=C1,3.209,tdc
C1=CC2C3C=CC(C3)C2C1,2.573,tdc
C1=CCC2CC=CC2C1,1.508,tdc
C1=CC2C=CC1C2,2.015,tdc
C1C2CC3OC3C2CC2OC12,1.852,tdc
C1C2OC2C2C1C1CC2C2OC12,2.893,tdc
C1=CCC(C2CC3C=CC2C3)CC1,1.609,tdc
C1=CCCC1,1.614,tdc
C1CC2CC1C1SSSC21,2.802,tdc
C1CC2CC1CC2CNCC1CC2CCC1C2,2.219,tdc
C1CC2OC2C1OC1CCC2OC12,1.93,tdc
C1CC2OC2CC1C1CO1,1.818,tdc
C1CCC(OC2CCCC2)C1,2.516,tdc
c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124,tdc
C1CCC(NC2CCCCC2)CC1,2.687,tdc
c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276,tdc
c1ccc2c(c1)CCCC2,1.665,tdc
C1CCC2CCCCC2C1,1.521,tdc
C1CCC2OC2C1,1.954,tdc
C1CCCCC1,0.821,tdc
C1CCCNCC1,2.384,tdc
C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388,tdc
C1CCc2nnnn2CC1,2.994,tdc
C1CCNCC1,2.3280000000000003,tdc
C1CCOC1,1.408,tdc
c1ccc(N2CCNCC2)cc1,2.888,tdc
c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599,tdc
c1ccc(N2CCOCC2)cc1,2.244,tdc
c1ccc2sc(SN3CCOCC3)nc2c1,2.105,tdc
c1cncc(C2=NCCC2)c1,1.892,tdc
C1CN1,3.458,tdc
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31,tdc
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119,tdc
C1CNCCN1,1.656,tdc
C1CNCCNC1,1.5490000000000002,tdc
C1CO1,2.787,tdc
C1COC(OCC2CO2)C(OCC2CO2)O1,2.337,tdc
C1COCCN1,1.919,tdc
C1COCCOCCOCCO1,1.794,tdc
C1COCCOCCOCCOCCO1,2.194,tdc
C1COCCOCCOCCOCCOCCO1,2.279,tdc
C1COCO1,1.393,tdc
C1CS1,2.529,tdc
C1CSCCO1,1.5659999999999998,tdc
c1cc2c(cc1C1CO1)O2,1.676,tdc
c1ccc(C2CO2)cc1,1.779,tdc
C1OC1C1CO1,3.043,tdc
c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998,tdc
c1ccc(N(CC2CO2)CC2CO2)cc1,2.103,tdc
c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209,tdc
c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937,tdc
c1ccc2c(c1)OCO2,2.323,tdc
CBr,2.647,tdc
CC#N,1.177,tdc
C=C(C)C#N,2.747,tdc
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107,tdc
C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536,tdc
C=CCOC(=O)C(=C)C,2.467,tdc
C=C(C)C(=O)OCC1CO1,2.377,tdc
C=C(C)C(=O)OCCCl,2.8710000000000004,tdc
C=C(C)C(C)=O,2.67,tdc
C=C(C)C(OC(C)=O)OC(C)=O,2.593,tdc
C=C(C)c1ccccc1,1.382,tdc
C=C(C)C1CC=C(C)C(=O)C1,4.607,tdc
C=C(C)C1CC=C(C)C(O)C1,1.705,tdc
C=C(C)C1CC=C(C)CC1,1.491,tdc
C=C(C)C1CC=C(CO)CC1,1.86,tdc
C=C(C)CC#N,2.177,tdc
C=C(C)OC(C)=O,1.523,tdc
CC(=CC(=O)O)C(=O)O,1.994,tdc
CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006,tdc
CC(=O)C(C)(C)C,2.215,tdc
CC(=O)C(C)=O,1.736,tdc
C=CC(C)=O,3.369,tdc
CC(=O)C=CC1=C(C)CCCC1(C)C,1.622,tdc
CC(=O)C=CC1C(C)=CCCC1(C)C,1.622,tdc
CC(=O)C=O,1.791,tdc
CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971,tdc
CC(=O)c1cccc2ccccc12,2.0380000000000003,tdc
CC(=O)c1ccc(C)cc1,1.982,tdc
CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465,tdc
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.812,tdc
CC(=O)c1ccc(N)cc1,2.55,tdc
CC(=O)c1ccc(O)cc1O,1.73,tdc
CC(=O)c1cccc([N+](=O)[O-])c1,1.706,tdc
CC(=O)c1cccc(N)c1,1.859,tdc
CC(=O)c1ccccc1,2.169,tdc
CC(=O)c1ccccc1Cl,1.929,tdc
CC(=O)c1ccccc1[N+](=O)[O-],2.014,tdc
CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57,tdc
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.022,tdc
CC(=O)C1C(=O)C=C(C)OC1=O,2.527,tdc
CC(=O)C1OC1(C)C,1.851,tdc
CC(=O)CC(=O)Nc1ccccc1,1.581,tdc
C=CC(=O)NC(C)(C)CC(C)=O,1.927,tdc
CC(=O)CC(C)(C)O,1.463,tdc
CC(=O)CC(C)=O,3.26,tdc
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838,tdc
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263,tdc
CC(=O)CCC(C)=O,1.74,tdc
CC(=O)CCC(=O)O,1.798,tdc
CC(=O)CCc1ccc(O)cc1,2.095,tdc
CC(=O)CCc1ccc(OC(C)=O)cc1,1.832,tdc
CC(=O)CCc1ccccc1,1.666,tdc
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.651,tdc
CC(=O)CCl,2.966,tdc
CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982,tdc
CC(=O)CO,1.527,tdc
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505,tdc
CC(=O)N1CCOCC1,1.324,tdc
CC(=O)NC(=O)C(Cl)(Cl)Cl,1.819,tdc
CC(=O)NC(=O)c1ccccc1O,1.952,tdc
CC(=O)NC(CS)C(=O)O,1.509,tdc
CC(=O)NC(N)=S,3.373,tdc
CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06,tdc
CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993,tdc
CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142,tdc
CC(=O)Nc1ccc(O)cc1,1.7990000000000002,tdc
CC(=O)Nc1ccccc1,2.228,tdc
CC(=O)Nc1ccncc1,2.485,tdc
CC(=O)NNC(=O)c1ccccn1,2.425,tdc
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,2.029,tdc
C=C(C#N)OC(C)=O,3.0460000000000003,tdc
C=CC(=C)CCCC(C)(C)OC(C)=O,1.494,tdc
CC(=O)OC(C)=O,1.759,tdc
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595,tdc
C=C(Cl)C(OC(C)=O)OC(C)=O,2.779,tdc
CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855,tdc
C=CC(OC(C)=O)OC(C)=O,3.655,tdc
C=COC(C)=O,1.47,tdc
C=CC=COC(C)=O,2.198,tdc
CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,2.189,tdc
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848,tdc
CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3.658,tdc
CC(=O)Oc1ccccc1C(N)=O,1.998,tdc
CC(=O)Oc1ccccc1C=CC(=O)O,1.816,tdc
CC(=O)Oc1ccc(C)cc1,1.898,tdc
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948,tdc
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717,tdc
CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15,tdc
CC(=O)Oc1ccccc1,1.922,tdc
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947,tdc
CC(=O)OC1CCC(C(C)(C)C)CC1,1.598,tdc
CC(=O)OC1CCCCC1,1.325,tdc
CC(=O)OCC#N,3.491,tdc
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.548,tdc
CC(=O)OCC(COC(C)=O)OC(C)=O,1.862,tdc
C=CCOC(C)=O,2.887,tdc
CC(=O)OCC=C(C)C,1.631,tdc
C=CCOC=CCOC(C)=O,1.622,tdc
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413,tdc
CC(=O)OCc1ccc2c(c1)OCO2,1.966,tdc
CC(=O)OCc1ccccc1,1.78,tdc
CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,1.491,tdc
CC(=O)OCCc1ccccc1,1.651,tdc
CC(=O)OCCC1=CCC2CC1C2(C)C,1.842,tdc
CC(=O)OCCC1CCCCC1,1.726,tdc
CC(=O)OCCN(CCOC(C)=O)N=O,1.64,tdc
CC(=O)OCCO,1.101,tdc
CC(=O)OCCOC(C)=O,1.329,tdc
CC(=O)OCCOCCOCCOC(C)=O,1.016,tdc
CC(=O)OCCS(=O)(=O)CCOC(C)=O,1.231,tdc
CC(=O)OCCSCCOC(C)=O,1.401,tdc
CC(=O)OO,1.694,tdc
CC(=S)Nc1ccccc1,1.759,tdc
CC(Br)(CCl)CBr,2.506,tdc
CC(Br)CBr,2.276,tdc
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121,tdc
CC(C#N)N1CCOCC1,3.207,tdc
CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617,tdc
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61,tdc
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.8560000000000003,tdc
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.443,tdc
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.567,tdc
CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,2.96,tdc
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.525,tdc
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,3.158,tdc
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.568,tdc
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.408,tdc
CC(C)(C#N)C(C)(C)C#N,3.544,tdc
CC(C)(C(=O)c1cccnc1)c1cccnc1,2.638,tdc
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,2.459,tdc
CC(C)(C)C(=O)O,2.055,tdc
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.633,tdc
CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,3.002,tdc
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.588,tdc
CC(C)(C)c1ccc(O)c(O)c1,1.77,tdc
CC(C)(C)c1ccc(C(=O)O)cc1,2.406,tdc
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.975,tdc
CC(C)(C)c1ccc(O)cc1,1.707,tdc
CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,1.874,tdc
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374,tdc
CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,2.157,tdc
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.774,tdc
CC(C)(C)C1CCC(=O)CC1,1.489,tdc
CC(C)(C)CC1(C)CO1,1.416,tdc
CC(C)(C)N,2.972,tdc
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2.559,tdc
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,2.362,tdc
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.766,tdc
CC(C)(C)O,1.3259999999999998,tdc
CC(C)(C)OOC(=O)c1ccccc1,2.283,tdc
CC(C)(C)S,1.28,tdc
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.847,tdc
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.491,tdc
CC(C)(CO)C(O)C#N,2.62,tdc
C=CC(=O)OCC(C)(C)COC(=O)C=C,1.499,tdc
CC(C)(COC(N)=O)COC(N)=O,1.88,tdc
CC1(N)CCC(C(C)(C)N)CC1,2.384,tdc
CC(C)(N)Cc1ccc(Cl)cc1,2.866,tdc
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.659,tdc
C#CC(C)(C)O,1.635,tdc
C=CC#CC(C)(C)O,2.264,tdc
CC(C)(O)c1ccccc1,2.02,tdc
CC(C)(O)CC(C)(O)c1ccc(Cl)cc1,2.302,tdc
CC(C)(O)Cc1ccccc1,2.07,tdc
C=CC(=C)CCCC(C)(C)O,1.464,tdc
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,2.5380000000000003,tdc
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.946,tdc
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2.379,tdc
CC(C)(OO)c1ccccc1,2.6,tdc
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.819,tdc
CC(C)(S)C(N)C(=O)O,1.384,tdc
CC(C)=CC(C)=NNc1nncc2ccccc12,2.588,tdc
CC(=O)C=C(C)C,1.943,tdc
CC(C)=CC(=O)O,1.449,tdc
CC(C)=CC1C(=O)OC(=O)C1(C=C(C)C)C=C(C)C,2.446,tdc
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.546,tdc
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.1010000000000004,tdc
CC(C)=CCC(CCN1CCOCC1)(C(N)=O)c1cccc2ccccc12,3.3160000000000003,tdc
CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.378,tdc
C=CC(C)(O)CCC=C(C)C,1.743,tdc
CC(C)=CCCC(C)=CC=O,1.487,tdc
CC(C)=CCCC(C)=CCCC(C)=CCO,1.569,tdc
CC(C)=CCCC(C)=CCO,1.535,tdc
CC(C)=CCN(CC=C(C)C)CCC(C(N)=O)c1cccc2ccccc12,3.014,tdc
CC(C)=CCO,2.027,tdc
CC(C)=CCOC(=O)c1ccccc1O,1.809,tdc
CC(C)=CCOC(=O)c1ccccc1,1.607,tdc
CC(C)=O,1.001,tdc
CC(C)C#N,3.141,tdc
CC(C)C(=O)N(C)C(=O)Oc1cccc(C(C)C)c1,2.62,tdc
Cc1ccc(OC(=O)C(C)C)cc1,1.649,tdc
CC(C)C(=O)OCc1ccccc1,1.796,tdc
CC(C)C(Br)C(=O)NC(N)=O,2.3480000000000003,tdc
CC(C)C(Br)C(=O)OCC(Br)(Br)Br,1.95,tdc
CC(C)C(Br)C(=O)OCC(Cl)(Cl)Cl,2.319,tdc
CC(C)C(Br)C(=O)O,2.372,tdc
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,3.777,tdc
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,3.829,tdc
CC(=O)C(C)C,2.765,tdc
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.85,tdc
CC(C)C(=O)O,2.498,tdc
CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,1.794,tdc
CC1=CCC(O)(C(C)C)CC1,2.074,tdc
CC1=C(C(C)C)CC=CC1,1.504,tdc
CC(C)c1s[nH]c2nc(C(C)(C)C)nc(=O)c1-2,1.392,tdc
Cc1ccc(C(C)C)cc1O,2.268,tdc
CC(C)c1cccc(OC(=O)N(C)N=O)c1,2.745,tdc
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.522,tdc
Cc1ccc(C(C)C)cc1,1.4509999999999998,tdc
Cc1ccc(C(C)C)c(O)c1,2.185,tdc
CC(C)c1ccc(C#N)cc1,1.571,tdc
CC(C)c1ccc(C=O)cc1,2.028,tdc
CC(C)c1ccc(CC=O)cc1,1.597,tdc
CC(C)c1ccc(CCO)cc1,1.96,tdc
CC(C)c1ccc(CO)cc1,2.168,tdc
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.053,tdc
CC(C)c1cccc(C(C)C)c1N,1.743,tdc
CC(C)c1cccc(OC(=O)N(C)C)c1,3.112,tdc
CC(C)c1ccccc1,1.934,tdc
CC(C)c1ccccc1N,2.059,tdc
CC1=CCC(C(C)C)=CC1,1.5719999999999998,tdc
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,2.066,tdc
CC1=CC(=O)C(C(C)C)CC1,1.793,tdc
CC1CCC(C(C)C)C(=O)C1,2.489,tdc
CC1CCC(C(C)C)C(O)C1,1.6909999999999998,tdc
CC(C)C1CCC(O)CC1,1.714,tdc
CC(C)CC(=O)CC(C)C,1.393,tdc
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.238,tdc
C=CCOC(=O)CC(C)C,2.7910000000000004,tdc
CC(=O)CC(C)C,1.683,tdc
CC(C)CC(C)CC(CC(C)C)OCCO,1.633,tdc
CC(C)CC(C)CC(O)CC(C)C,1.04,tdc
C=COCC(C)CCCC(C)CC(C)C,2.241,tdc
CC(C)CC(C)O,1.596,tdc
CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,1.588,tdc
CC(=O)OC(C)CC(C)C,1.369,tdc
CC(C)CC(CC(C)C)OCCOCCO,1.4280000000000002,tdc
CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCNC(=N)N,2.773,tdc
CC(C)CC(=O)O,1.7080000000000002,tdc
CC(C)CC(O)CC(C)C,1.659,tdc
CC(C)CC(O)CC(CC(C)C)CC(C)C,1.155,tdc
CC(C)CC=O,1.187,tdc
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,2.315,tdc
CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.511,tdc
CC(=O)CCC(C)C,1.5519999999999998,tdc
CC(C)CCC(=O)O,1.753,tdc
CC(C)CCC=O,1.248,tdc
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.962,tdc
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.751,tdc
Cc1c(C)c2c(c(C)c1OC(=O)C(C)(C)Oc1ccc(Cl)cc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.621,tdc
CC(C)CCCC(C)N,2.381,tdc
CC(C)CCCCCCO,1.685,tdc
CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,2.339,tdc
CC(C)CCCO,1.196,tdc
CC(C)CCO,1.831,tdc
CC(C)CCOC(=O)c1ccccc1,1.482,tdc
CC(=O)OCCC(C)C,0.894,tdc
CC(C)CCOC(CO)CC(C)C,1.5419999999999998,tdc
CC(C)CCOC=O,1.072,tdc
CC(C)CCON=O,2.365,tdc
CC(C)CCP(CCC(C)C)CCC(C)C,2.039,tdc
CC(C)CN,2.506,tdc
CC(C)Cn1nc(-c2ccccc2)c(-c2ccccc2)c1CC(=O)O,3.862,tdc
CC(C)CNCC(C)C,2.7,tdc
CC(C)CO,1.479,tdc
C=CC(=O)OCC(C)C,1.258,tdc
CC(C)COC(=O)C=CC(=O)OCC(C)C,1.449,tdc
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.268,tdc
CC(C)COC(=O)c1ccccc1O,2.095,tdc
CC(C)COC(=O)CCc1ccco1,2.003,tdc
CC(=O)OCC(C)C,0.938,tdc
C=COCC(C)C,0.77,tdc
CC(C)CON=O,2.401,tdc
CC(C)COP(C)(=S)SCN1C(=O)c2ccccc2C1=O,3.968,tdc
CC(C)N,1.858,tdc
CC(C)[N+](=O)[O-],2.093,tdc
CC(C)N(C(=O)CCl)c1ccccc1,2.474,tdc
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,2.5810000000000004,tdc
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,2.835,tdc
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,3.008,tdc
CC(C)N(CCO)C(C)C,2.133,tdc
CC(C)N(N=O)C(C)C,2.185,tdc
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1.751,tdc
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2.339,tdc
Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,1.861,tdc
CC(C)N1CCNCC1,1.656,tdc
Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.291,tdc
CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.053,tdc
CC(C)NC(=S)NC(C)C,2.552,tdc
CC(C)Nc1ccc(Nc2ccccc2)cc1,2.497,tdc
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.777,tdc
CC(C)NCC(O)c1cc(O)cc(O)c1,1.797,tdc
CC(C)NCC(O)c1ccc(O)c(O)c1,2.775,tdc
CC(C)NCC(O)c1ccc2ccccc2c1,2.406,tdc
CC(C)NCC(O)COc1cccc2ccccc12,2.594,tdc
CC(C)NCC(O)COc1cccc2[nH]ccc12,2.975,tdc
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1.948,tdc
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,1.887,tdc
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,3.969,tdc
CC(C)NCCCN(C)C,2.045,tdc
CC(C)NNC(=O)c1ccncc1,2.6910000000000003,tdc
CC(C)NNC(=O)COc1ccc(Cl)cc1,2.645,tdc
CC(C)NP(O)(=S)Oc1cc(Cl)c(Cl)cc1Cl,4.033,tdc
CC(C)O,1.0759999999999998,tdc
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,2.387,tdc
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.832,tdc
CC(C)OC(=O)C=CC(=O)OC(C)C,1.79,tdc
CC(C)OC(=O)c1ccccc1,1.644,tdc
