InChIKey,SMILES,Developmental_target
COCLLEMEIJQBAG-UHFFFAOYSA-N,C=C(C)C(=O)OCCCCCCCC(C)C,1
QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,1
DHVLDKHFGIVEIP-UHFFFAOYSA-N,N#CCCC(Br)(C#N)CBr,1
CAWXEEYDBZRFPE-UHFFFAOYSA-N,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,1
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,1
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,1
FJLUATLTXUNBOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN,1
NCOFDUNMKGIVBQ-UHFFFAOYSA-N,CCC(C)C(C)CCOC(C)=O,1
WFUGQJXVXHBTEM-UHFFFAOYSA-N,CCC(C)(OO)OOC(C)(CC)OO,1
XCJXQCUJXDUNDN-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,1
RQKFYFNZSHWXAW-UHFFFAOYSA-N,Cc1ccc(N)cc1Cl,1
WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,1
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,1
QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,1
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,O=C/C=C/c1ccccc1,1
HBGGXOJOCNVPFY-UHFFFAOYSA-N,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,1
WSWCOQWTEOXDQX-MQQKCMAXSA-N,C/C=C/C=C/C(=O)O,1
PGIBJVOPLXHHGS-UHFFFAOYSA-N,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,1
UDSFAEKRVUSQDD-UHFFFAOYSA-N,COC(=O)CCCCC(=O)OC,1
VWDWKYIASSYTQR-UHFFFAOYSA-N,O=[N+]([O-])[O-].[Na+],1
MNSGOOCAMMSKGI-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1CO,1
VMHLLURERBWHNL-UHFFFAOYSA-M,CC(=O)[O-].[Na+],0
QGNJRVVDBSJHIZ-QHLGVNSISA-N,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1
FGIUAXJPYTZDNR-UHFFFAOYSA-N,O=[N+]([O-])[O-].[K+],1
FQDIANVAWVHZIR-OWOJBTEDSA-N,ClC/C=C/CCl,1
XZZNDPSIHUTMOC-UHFFFAOYSA-N,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,0
YRKCREAYFQTBPV-UHFFFAOYSA-N,CC(=O)CC(C)=O,1
WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccccc1,1
VYPSYNLAJGMNEJ-UHFFFAOYSA-N,O=[Si]=O,1
CIFFBTOJCKSRJY-UHFFFAOYSA-N,O=C1NC(=O)C2CC=CCC12,1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,0
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,1
MIMDHDXOBDPUQW-UHFFFAOYSA-N,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,0
RDOFJDLLWVCMRU-UHFFFAOYSA-N,CC(C)COC(=O)CCCCC(=O)OCC(C)C,1
NESLWCLHZZISNB-UHFFFAOYSA-M,[Na+].[O-]c1ccccc1,0
APSBXTVYXVQYAB-UHFFFAOYSA-M,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],1
LPXPTNMVRIOKMN-UHFFFAOYSA-M,O=N[O-].[Na+],1
PPASLZSBLFJQEF-RXSVEWSESA-M,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+],1
PYWVYCXTNDRMGF-UHFFFAOYSA-N,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-],1
DBMJMQXJHONAFJ-UHFFFAOYSA-M,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,1
JBTHDAVBDKKSRW-UHFFFAOYSA-N,Cc1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,0
BCZXFFBUYPCTSJ-UHFFFAOYSA-L,CCC(=O)[O-].CCC(=O)[O-].[Ca+2],0
SFVFIFLLYFPGHH-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0
JXKPEJDQGNYQSM-UHFFFAOYSA-M,CCC(=O)[O-].[Na+],1
BVTBRVFYZUCAKH-UHFFFAOYSA-L,O=[Se]([O-])[O-].[Na+].[Na+],1
DPUOLQHDNGRHBS-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,1
IQDGSYLLQPDQDV-UHFFFAOYSA-N,CNC.Cl,1
ABBQHOQBGMUPJH-UHFFFAOYSA-M,O=C([O-])c1ccccc1O.[Na+],1
SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],1
NCXMLFZGDNKEPB-FFPOYIOWSA-N,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,1
FQENQNTWSFEDLI-UHFFFAOYSA-J,O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],1
WTEVQBCEXWBHNA-JXMROGBWSA-N,CC(C)=CCC/C(C)=C/C=O,1
MEXUFEQDCXZEON-UHFFFAOYSA-N,FC(F)(Cl)Br,0
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,1
UOORRWUZONOOLO-OWOJBTEDSA-N,Cl/C=C/CCl,1
