InChIKey,SMILES,Respiratory_target
LRDFRRGEGBBSRN-UHFFFAOYSA-N,CC(C)C#N,1
KDPAWGWELVVRCH-UHFFFAOYSA-N,O=C(O)CBr,1
SDQFDHOLCGWZPU-UHFFFAOYSA-N,CC(C=O)Cc1ccc(C(C)(C)C)cc1,0
CYSGHNMQYZDMIA-UHFFFAOYSA-N,CN1CCN(C)C1=O,0
FLKPEMZONWLCSK-UHFFFAOYSA-N,CCOC(=O)c1ccccc1C(=O)OCC,0
NAYYNDKKHOIIOD-UHFFFAOYSA-N,NC(=O)c1ccccc1C(N)=O,0
XJGFWWJLMVZSIG-UHFFFAOYSA-N,Nc1c2ccccc2nc2ccccc12,1
SDYWXFYBZPNOFX-UHFFFAOYSA-N,Nc1ccc(Cl)c(Cl)c1,1
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,0
GOIQOQCNFWYSTQ-UHFFFAOYSA-N,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,1
NTBYINQTYWZXLH-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1
SPPWGCYEYAMHDT-UHFFFAOYSA-N,CC(C)c1ccc(C(C)C)cc1,0
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,1
MWRWFPQBGSZWNV-UHFFFAOYSA-N,O=NN1CN2CN(C1)CN(N=O)C2,1
HLBLWEWZXPIGSM-UHFFFAOYSA-N,Nc1ccc(Oc2ccc(N)cc2)cc1,1
VPYJNCGUESNPMV-UHFFFAOYSA-N,C=CCN(CC=C)CC=C,1
NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(C)=CCCC(C)CC=O,1
AZQWKYJCGOJGHM-UHFFFAOYSA-N,O=C1C=CC(=O)C=C1,1
VVJKKWFAADXIJK-UHFFFAOYSA-N,C=CCN,1
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N,1
NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,1
DILRJUIACXKSQE-UHFFFAOYSA-N,CN(C)CCN,0
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,1
CUONGYYJJVDODC-UHFFFAOYSA-N,N#CCC#N,1
FFWSICBKRCICMR-UHFFFAOYSA-N,CC(=O)CCC(C)C,0
AGCQZYRSTIRJFM-UHFFFAOYSA-N,O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],0
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,0
SBASXUCJHJRPEV-UHFFFAOYSA-N,COCCOCCO,0
XXJWXESWEXIICW-UHFFFAOYSA-N,CCOCCOCCO,0
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,0
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,CCCCOCCOCCO,0
RDYMFSUJUZBWLH-UHFFFAOYSA-N,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1
HZTMGWSBSDLALI-UHFFFAOYSA-N,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,1
SATCULPHIDQDRE-UHFFFAOYSA-N,O=Cc1ccc2c(c1)OCO2,1
JTTMYKSFKOOQLP-UHFFFAOYSA-N,Oc1ccc(Nc2ccccc2)cc1,1
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,1
DYUWTXWIYMHBQS-UHFFFAOYSA-N,C=CCNCC=C,1
ICGJBKGPBKOURO-UHFFFAOYSA-N,O=C1O[IH2](O)c2ccccc21,1
CQEYYJKEWSMYFG-UHFFFAOYSA-N,C=CC(=O)OCCCC,0
JHQVCQDWGSXTFE-UHFFFAOYSA-N,C=CCOC(=O)OCCOCCOC(=O)OCC=C,1
JJVNINGBHGBWJH-UHFFFAOYSA-N,COc1cccc(C=O)c1O,1
RGUQWGXAYZNLMI-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC=NS2(=O)=O,0
XCWPUUGSGHNIDZ-UHFFFAOYSA-N,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC,1
UVGTXNPVQOQFQW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(I)c(O)c(I)c1,1
ZFPNOTAGQWNERF-UHFFFAOYSA-N,CCCCNc1c2c(nc3ccccc13)CCCC2,1
HQCRDFMPWUOYCI-UHFFFAOYSA-N,CCN(CCF)Cc1cccc2ccccc12,1
MXQCXRIBPVYRJN-UHFFFAOYSA-N,CN(CCF)Cc1cccc2ccccc12,1
FSDLLONBRLBIBL-UHFFFAOYSA-N,COC(F)=C(C(F)(F)F)C(F)(F)F,1
JGGBVFLRNNDHCM-UHFFFAOYSA-N,COC(=O)C(C(F)(F)F)C(F)(F)F,1
IPWSCROFORAGJW-UHFFFAOYSA-N,O=CC(=O)c1ccc(F)cc1,0
FZAGOOYMTPGPGF-UHFFFAOYSA-N,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1=C2)OCO4,1
FEMOMIGRRWSMCU-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1(O)O,1
VXCONGLPCAPYEU-UHFFFAOYSA-N,Cc1ncc(Cn2c(C)c(CCO)sc2=O)c(N)n1,0
OFQBYHLLIJGMNP-UHFFFAOYSA-N,CCOc1cccc(C=O)c1O,1
VUENWDJSJYJARL-UHFFFAOYSA-N,CC(=O)CCC(=O)c1ccoc1,1
NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(O)(CC(=O)O)CC(=O)O,0
WWRCMNKATXZARA-UHFFFAOYSA-N,Cc1ccccc1C(C)C,0
LWBAYRVWDMTLKC-UHFFFAOYSA-N,CC1CCCCN1CCCOC(=O)c1ccccc1,0
QAYICIQNSGETAS-UHFFFAOYSA-N,CN1CSC(=S)N(C)C1,1
OWTXHZITCDRRTI-UHFFFAOYSA-N,OCC(O)COC1CCCCC1,0
XAMBIJWZVIZZOG-UHFFFAOYSA-N,Cc1ccc(NN)cc1,1
HXDLWJWIAHWIKI-UHFFFAOYSA-N,CC(=O)OCCO,0
WFCLYEAZTHWNEH-UHFFFAOYSA-N,CCSC#N,1
ZHYQCBCBTQWPLC-UHFFFAOYSA-N,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2,1
KQCMTOWTPBNWDB-UHFFFAOYSA-N,Nc1ccc(Cl)cc1Cl,1
VSVAVMVWTLLTCH-YHYXMXQVSA-N,O=C1NCCN1/N=C/c1ccc([N+](=O)[O-])o1,0
LPGDEHBASRKTDG-UHFFFAOYSA-N,CC(=O)N1C(=O)C(=O)c2ccccc21,0
HVDFUVLFCQSGAK-UHFFFAOYSA-N,CC(=O)C(O)(O)C(=O)O,0
JJMOMMLADQPZNY-UHFFFAOYSA-N,CC(C)(C=O)CO,0
WMJBVALTYVXGHW-UHFFFAOYSA-N,O=C(O)C=C(c1ccccc1)c1ccccc1,0
HOYRZHJJAHRMLL-UHFFFAOYSA-N,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,0
JLBJTVDPSNHSKJ-UHFFFAOYSA-N,C=Cc1ccc(C)cc1,0
MFFXVVHUKRKXCI-UHFFFAOYSA-N,CCOC(=O)CI,1
JCYHHICXJAGYEL-UHFFFAOYSA-N,CCCCOCC(O)CO,0
FTKASJMIPSSXBP-UHFFFAOYSA-N,CCOC(=O)C[N+](=O)[O-],0
FOHHWGVAOVDVLP-UHFFFAOYSA-N,Nc1ccc(Cl)c([N+](=O)[O-])c1,1
XWVOEFLBOSSYGM-UHFFFAOYSA-N,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,0
ITUYMTWJWYTELW-UHFFFAOYSA-N,O=C1C=CC(=NCl)C=C1,1
OHLRLMWUFVDREV-UHFFFAOYSA-N,CCOC(=O)CC(=O)CCl,1
NKKBXWZXFGXITE-UHFFFAOYSA-N,CC(C)(C)CCOP(C)(=O)F,1
GQSZUSQTGLEZCG-UHFFFAOYSA-N,COCCOc1ccc(NC(C)=O)cc1C(C)=O,0
FZHSPPYCNDYIKD-UHFFFAOYSA-N,COc1ccc(O)c(C=O)c1,1
MRJFAPJDIVTPJG-UHFFFAOYSA-N,COC(=O)C(=C(F)F)C(F)(F)F,1
JKYMBLYJMSXPCM-UHFFFAOYSA-N,Nc1cccc(=O)c(O)c1,1
AUFZRCJENRSRLY-UHFFFAOYSA-N,Cc1cc(O)c(C)c(C)c1O,1
NTCCNERMXRIPTR-UHFFFAOYSA-N,O=Cc1c(O)ccc2ccccc12,0
UWCPWBIMRYXUOU-UHFFFAOYSA-N,O=C1C(=O)N(c2ccccc2)c2ccccc21,1
NOXLGCOSAFGMDV-UHFFFAOYSA-N,Nc1c(F)c(F)c(F)c(F)c1F,1
IGARGHRYKHJQSM-UHFFFAOYSA-N,c1ccc(C2CCCCC2)cc1,1
XNGIFLGASWRNHJ-UHFFFAOYSA-N,O=C(O)c1ccccc1C(=O)O,0
GKIRPKYJQBWNGO-UHFFFAOYSA-N,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,1
PXDBZSCGSQSKST-UHFFFAOYSA-N,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,1
QIXDHVDGPXBRRD-UHFFFAOYSA-N,CC1=CC(=O)C(C)=C(C)C1=O,1
SGSHKKZZKAZVCW-UHFFFAOYSA-N,COP(=O)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,1
YCWSUKQGVSGXJO-QPEQYQDCSA-N,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,0
AMIUKHHHHJYBCP-UHFFFAOYSA-N,c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,1
SGEXRLPAQIRHGQ-UHFFFAOYSA-N,COc1cccc(CCN2CCN(c3ccccc3)CC2)c1,1
AKADUWVZYNJHFA-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccn3)CC2)cc1,1
PMKSGALOAFBOTA-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3)CC2)cc1OC,1
AMRDFXICIGZUMO-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccn3)CC2)cc1OC,1
VACAWRIWNVXISJ-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3Br)CC2)cc1OC,1
CIBCPRNJNGKEMY-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3C)CC2)cc1OC,1
PVHHQZFDRWRYTD-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3N)CC2)cc1OC,1
COUBFHDRVMCGBX-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3O)CC2)cc1OC,1
RSXQCTKWWMNAOI-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3cccc(Cl)c3)CC2)cc1OC,1
JMEMXTTZXRFHNG-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccc(C)cc3)CC2)cc1OC,1
YKXZKEJFFPQWAS-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccc(Cl)cc3)CC2)cc1OC,1
VCUGEIWFIODVQY-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3c(C)cccc3C)CC2)cc1OC,1
ZAYFNMYDNWEICN-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccccc3SC)CC2)cc1OC,1
DKUABKXQTAYDHX-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3cccc(C)c3C)CC2)cc1OC,1
HNEDGZHGNZNFQC-UHFFFAOYSA-N,COc1ccc(CCN2CCN(c3ccc(C)c(C)c3)CC2)cc1OC,1
LMIPOYBWKDJJPG-UHFFFAOYSA-N,COc1cccc(N2CCN(CCc3ccc(OC)c(OC)c3)CC2)c1,1
XILTUGULAKXPOZ-UHFFFAOYSA-N,COc1ccc(N2CCN(CCc3ccc(OC)c(OC)c3)CC2)cc1,1
XDDAORKBJWWYJS-UHFFFAOYSA-N,O=C(O)CNCP(=O)(O)O,1
VHRUBWHAOUIMDW-UHFFFAOYSA-N,CCCCCCCC(=O)N(C)C,0
NUOUMXJKIOPNQM-UHFFFAOYSA-N,CCCC1(CCC)CC(=O)NC(=O)C1,0
NPFYZDNDJHZQKY-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccc(O)cc1,0
VFEUKRULGBAHHV-UHFFFAOYSA-N,CN(C)CCNC(=O)COc1ccc(Cl)cc1,0
ODLJOXGVKAAUFP-UHFFFAOYSA-N,CC(=O)c1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,0
LKZWCRGTHNZTQN-UHFFFAOYSA-N,c1ccc(-c2nnc(-c3ccccc3)s2)cc1,1
GEVBBQNWDQJVTA-UHFFFAOYSA-N,Cc1nnc(-c2ccccc2)s1,1
YSRVJVDFHZYRPA-UHFFFAOYSA-N,NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,0
NXFQWRWXEYTOTK-UHFFFAOYSA-N,COc1nc(C)nc(N)n1,0
QZUPTXGVPYNUIT-UHFFFAOYSA-N,NC(=O)c1cccc(C(N)=O)c1,0
RRIGVQQUVAETIG-UHFFFAOYSA-N,C1NNCN2CNNCN12,1
VOTDRCFZXCKSFW-UHFFFAOYSA-N,CN(C)Cc1oc(C(=O)O)cc(=O)c1O,0
XXYDEJAJDOABCE-UHFFFAOYSA-N,CN(C)CCNN,1
SSLKKMZJCJBOML-UHFFFAOYSA-N,CCN(CC)C(=O)CSc1ccc(Cl)nn1,0
NQXKEZOQGPYBND-UHFFFAOYSA-N,CCN(CCBr)Cc1cccc2ccccc12,1
KTWDTPBHCWJWGJ-UHFFFAOYSA-N,Nc1nnc(-c2ccncc2)s1,1
GWUSZQUVEVMBPI-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,0
KPKQWXGFEKRQQA-UHFFFAOYSA-N,c1ccc(-c2nnc(-c3ccccc3)[nH]2)cc1,1
NVHNGVXBCWYLFA-UHFFFAOYSA-N,S=C1NCCCN1,0
GEEDYJPPYNIZLX-UHFFFAOYSA-N,CN1C(=O)C(=O)c2cc(Br)ccc21,0
VCYBVWFTGAZHGH-UHFFFAOYSA-N,CN1C(=O)C(=O)c2ccccc21,0
HICFFJZGXWEIHN-UHFFFAOYSA-N,CN(C)CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,1
NYQDCVLCJXRDSK-UHFFFAOYSA-N,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0
VPMWFZKOWULPGT-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,0
BRZANEXCSZCZCI-UHFFFAOYSA-N,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,0
ABSDZQDZDHJMPX-UHFFFAOYSA-N,CCCCOCC(O)COCCCC,0
CYBHZZZXLCUSQA-UHFFFAOYSA-N,CC(C)C(C)(COC(N)=O)COC(N)=O,0
ALBSWLMUHHZLLR-UHFFFAOYSA-N,COC(=O)C[N+](=O)[O-],0
OTIZTAXUFMCICV-UHFFFAOYSA-N,CC(C)(C)C(=O)OCC(=O)c1ccccc1,0
PUSJAEJRDNPYKM-UHFFFAOYSA-N,CC(=O)c1cc(C)sc1C,1
RUANENNXSBNRIP-UHFFFAOYSA-N,CCOC(=O)CN(CC(C)C)CC(C)C,1
JFBWZQGMDBYSIH-UHFFFAOYSA-N,CCCCCN(CCCCC)CC(=O)OCC,1
CWZCDPXXTWLHPO-UHFFFAOYSA-N,CCCCCCN(CCCCCC)CC(=O)OCC,1
YFNGCKXAIRGJTA-UHFFFAOYSA-N,CCOC(=O)CN(C1CCCCC1)C1CCCCC1,1
BHJCQZBVCMLMKV-UHFFFAOYSA-N,C=CCN(CC=C)CC(=O)OCC,0
MOXTXJCVFAWXTI-UHFFFAOYSA-N,CCCN(CCC)CC(=O)NN,1
LQIQAZOPAXDSOP-UHFFFAOYSA-N,CC(C)N(CC(=O)NN)C(C)C,1
WJDAMHVSNVGDPK-UHFFFAOYSA-N,CCCCN(CCCC)CC(=O)NN,1
OFJSNTDWKDOLCT-UHFFFAOYSA-N,CC(C)CN(CC(=O)NN)CC(C)C,1
CPKORLMZNZXAIL-UHFFFAOYSA-N,CCCCCN(CCCCC)CC(=O)NN,1
DZXVCUMOIWJBLL-UHFFFAOYSA-N,CC(C)CCN(CCC(C)C)CC(=O)NN,1
YOQPCWIXYUNEET-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,1
RZPLODMPJDDPCO-UHFFFAOYSA-N,CN(C)CCNc1cccccc1=O,1
TXUMSGFXVUDLSH-UHFFFAOYSA-N,CCOC(=O)CN(CCC(C)C)CCC(C)C,1
WQWNVPGJVKVZDH-UHFFFAOYSA-N,CCOc1cc(C=O)cc(C=O)c1O,1
YVNRFQCFZVYDRO-UHFFFAOYSA-N,COc1cc(C=O)cc(C=O)c1O,1
MXTPRJXPLFGHEE-UHFFFAOYSA-N,NCCSS(=O)(=O)O,1
MHSKRLJMQQNJNC-UHFFFAOYSA-N,NC(=O)c1ccc(C(N)=O)cc1,1
FQXSTGKJHBFSIQ-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)N(C)C,0
FUKWTMJZHKZKFA-UHFFFAOYSA-N,N#Cc1ccc(C(N)=O)cc1,0
BNQSTAOJRULKNX-UHFFFAOYSA-N,CC(=O)NCCCCCCNC(C)=O,0
WQDDXVGJRSTLED-UHFFFAOYSA-N,CN1CCN(c2ccccc2)CC1,1
GEMKGDSDLYAIRK-UHFFFAOYSA-N,CCOC(=O)c1cc(C)c(N)c(C)c1,0
DOBPAXBDQAYQMF-UHFFFAOYSA-N,CC(C)(C)CCOC(N)=O,1
VVDOBSIULNBZRI-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2cn3[nH]cnc3n2)cc1,0
