index,smiles
113,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
114,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
115,CC(C)NNC(=O)c1ccncc1
116,Cc1cc(C(=O)NNCc2ccccc2)no1
117,CC(C)NCC(O)c1ccc(O)c(O)c1
118,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1
119,CNC1(c2ccccc2Cl)CCCCC1=O
120,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
121,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
122,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
123,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
124,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
125,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
126,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
127,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
128,CNCCCC12CCC(c3ccccc31)c1ccccc12
129,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
130,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
131,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
132,Cc1cccc(Nc2ccccc2C(=O)O)c1C
133,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
134,CC12CC3CC(C)(C1)CC(N)(C3)C2
135,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
136,CC(C)NCC(O)c1cc(O)cc(O)c1
137,CN(C)C(=N)N=C(N)N
138,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
139,Cc1ncc([N+](=O)[O-])n1CCO
140,CC(C)(C(=O)c1cccnc1)c1cccnc1
141,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
142,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
143,N=c1nc(N2CCCCC2)cc(N)n1O
144,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
145,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
146,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
147,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
148,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O
149,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
150,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
151,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
152,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
153,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
154,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
155,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
156,CN1Cc2c(N)cccc2C(c2ccccc2)C1
157,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
158,Cc1ccccc1C(OCCN(C)C)c1ccccc1
159,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
160,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1
161,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
162,NCCC(O)(P(=O)(O)O)P(=O)(O)O
163,CC(C)(CO)C(O)C(=O)NCCCO
164,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
165,C#CCN(C)Cc1ccccc1
166,NC1=NC(=O)C(c2ccccc2)O1
167,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
168,CCOc1ccc(NC(C)=O)cc1
169,Nc1ccc(N=Nc2ccccc2)c(N)n1
170,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
171,CC(C)(N)Cc1ccccc1
172,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
173,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C
174,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C
175,CC(C)NCC(O)COc1cccc2[nH]ccc12
176,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
177,COc1cc(NC(C)CCCN)c2ncccc2c1
178,CCC1(c2ccccc2)C(=O)NCNC1=O
179,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
180,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
181,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
182,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
183,CC(C)c1cccc(C(C)C)c1O
184,CC(C)NCC(O)COc1cccc2ccccc12
185,CNCCCC1c2ccccc2C=Cc2ccccc21
186,CN(C)C(=O)Oc1ccc[n+](C)c1
187,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
188,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
189,Nc1nc2ccc(OC(F)(F)F)cc2s1
190,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
191,NC(=O)c1ccccc1O
192,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
193,[Cl-]
194,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
195,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
196,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
197,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
198,Nc1ccc(S(N)(=O)=O)cc1
199,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
200,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
201,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1
202,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
203,Cn1nnc2c(C(N)=O)ncn2c1=O
204,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
205,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
206,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
207,Clc1ccccc1CN1CCc2sccc2C1
208,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
209,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
210,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
211,NCC1CCC(C(=O)O)CC1
212,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
213,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
214,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
215,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
216,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
217,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
218,NS(=O)(=O)Cc1noc2ccccc12
219,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
220,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
221,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
222,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
223,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
224,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
225,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
226,CNCC(O)c1ccc(O)c(O)c1
227,CC(N)Cc1ccccc1
228,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
229,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
230,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1
231,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
232,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
233,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
234,CCC1C(=O)OCC1Cc1cncn1C
235,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
236,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
237,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
238,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
239,NC(Cc1ccc(O)c(O)c1)C(=O)O
240,COc1ccc(OC)c(C(O)C(C)N)c1
241,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
242,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
243,CSCCC(N)C(=O)O
244,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
245,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
246,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
247,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
248,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
249,NC(N)=NCCCC(N)C(=O)O
250,NC(CO)(CO)CO
251,CN1CCN(C(c2ccccc2)c2ccccc2)CC1
252,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
253,c1ccc2c(c1)Nc1ccccc1S2
254,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
255,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
256,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
257,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1
258,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)oc2ccccc2c1=O
259,CNC(C)C(O)c1ccccc1
260,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C
261,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
262,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1
263,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
264,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O
265,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
266,CNC(C)Cc1ccccc1
267,C[N+](C)(C)CC(O)CC(=O)[O-]
268,NC(=O)NS(=O)(=O)c1ccc(N)cc1
269,S=C=Nc1cccc2ccccc12
270,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O
271,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O
272,CC(=O)Nc1cccc(O)c1
273,CC1C(c2ccccc2)OCCN1C
274,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
275,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
276,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
277,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1
278,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
279,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2
280,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
281,CC(C)Cc1ccc(CC(=O)O)cc1
282,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O
283,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
284,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
285,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
286,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
287,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
288,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
289,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
290,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O
291,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
292,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21
293,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
294,Nc1ccn(C2CCC(CO)O2)c(=O)n1
295,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
296,COC(=O)Nc1nc2ccccc2[nH]1
297,C#CCN(C)C(C)Cc1ccccc1
298,CC(N)C(O)c1ccccc1
299,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
300,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1
301,[Li+]
302,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
303,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
304,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
305,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
306,C=CCOc1ccc(CC(=O)O)cc1Cl
307,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
308,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
309,CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)[O-])C1OC1OC(C(=O)[O-])C(O)C(O)C1O
310,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
311,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
312,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
313,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
314,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
315,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
316,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
317,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
318,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1
319,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
320,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
321,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
322,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
323,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
324,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
325,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
326,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O
327,OCC1OC(n2cnc3c2NC=NCC3O)CC1O
328,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
329,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1
330,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
331,O=c1nc[nH]c2c1ncn2C1CCC(CO)O1
332,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
333,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
334,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
335,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1
336,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O
337,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
338,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
339,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
340,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
341,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
342,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
343,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
344,Nc1ncnc2c1ncn2CCOCP(=O)(O)O
345,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
346,CC(c1cc2ccccc2s1)N(O)C(N)=O
347,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C
348,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
349,CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1
