InChIKey,SMILES,Carcinogenicity_target
AZSNMRSAGSSBNP-XPNPUAGNSA-N,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0
PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0
QCHFTSOMWOSFHM-WPRPVWTQSA-N,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,0
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(C(N)=S)ccn1,0
NIJJYAXOARWZEE-UHFFFAOYSA-M,CCCC(CCC)C(=O)[O-],1
OJLOPKGSLYJEMD-URPKTTJQSA-N,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0
ZQPPMHVWECSIRJ-KTKRTIGZSA-M,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],0
VYGQUTWHTHXGQB-FFHKNEKCSA-N,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,0
FIPWRIJSWJWJAI-UHFFFAOYSA-N,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1
WHNWPMSKXPGLAX-UHFFFAOYSA-N,C=CN1CCCC1=O,1
KNHUKKLJHYUCFP-UHFFFAOYSA-N,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0
ZSJLQEPLLKMAKR-GKHCUFPYSA-N,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,1
FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0
QYSPLQLAKJAUJT-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
PMRYVIKBURPHAH-UHFFFAOYSA-N,Cn1cc[nH]c1=S,1
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0
QXKHYNVANLEOEG-UHFFFAOYSA-N,COc1c2occc2cc2ccc(=O)oc12,1
BFPSDSIWYFKGBC-UHFFFAOYSA-N,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0
NWVVVBRKAWDGAB-UHFFFAOYSA-N,COc1ccc(O)cc1,1
ONKUMRGIYFNPJW-KIEAKMPYSA-N,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
SEQDDYPDSLOBDC-UHFFFAOYSA-N,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0
OENHQHLEOONYIE-JLTXGRSLSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,0
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,1
LMEKQMALGUDUQG-UHFFFAOYSA-N,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0
DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(c2ccccc2)C(=O)NCNC1=O,0
HBOMLICNUCNMMY-XLPZGREQSA-N,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1CO1,1
WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0
KNAHARQHSZJURB-UHFFFAOYSA-N,CCCc1cc(=O)[nH]c(=S)[nH]1,1
CYQFCXCEBYINGO-IAGOWNOFSA-N,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0
OMPJBNCRMGITSC-UHFFFAOYSA-N,O=C(OOC(=O)c1ccccc1)c1ccccc1,0
CDCHDCWJMGXXRH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,0
IPEHBUMCGVEMRF-UHFFFAOYSA-N,NC(=O)c1cnccn1,0
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2ccccc12,0
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,0
MWQCHHACWWAQLJ-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0
SOYKEARSMXGVTM-UHFFFAOYSA-O,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
RHMXXJGYXNZAPX-UHFFFAOYSA-N,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0
QBPFLULOKWLNNW-UHFFFAOYSA-N,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1
BTLXPCBPYBNQNR-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2c(O)cccc21,1
LNTHITQWFMADLM-UHFFFAOYSA-N,O=C(O)c1cc(O)c(O)c(O)c1,0
RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,0
NOOLISFMXDJSKH-UHFFFAOYSA-N,CC1CCC(C(C)C)C(O)C1,0
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O=c1ccc2ccccc2o1,1
UFWIBTONFRDIAS-UHFFFAOYSA-N,c1ccc2ccccc2c1,1
CZIHNRWJTSTCEX-UHFFFAOYSA-N,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1
PPQNQXQZIWHJRB-UHFFFAOYSA-N,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1
VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
OQIQSTLJSLGHID-UHFFFAOYSA-N,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1
SLXKOJJOQWFEFD-UHFFFAOYSA-N,NCCCCCC(=O)O,0
GXDALQBWZGODGZ-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0
MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,1
GNCOVOVCHIHPHP-UHFFFAOYSA-N,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0
NLZUEZXRPGMBCV-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
GHOSNRCGJFBJIB-UHFFFAOYSA-N,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,O=C1CCCCCN1,0
JHRWWRDRBPCWTF-UHFFFAOYSA-N,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,1
JCKYGMPEJWAADB-UHFFFAOYSA-N,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1
LHHGDZSESBACKH-UHFFFAOYSA-N,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1
KCXMKQUNVWSEMD-UHFFFAOYSA-N,ClCc1ccccc1,0
RKWGIWYCVPQPMF-UHFFFAOYSA-N,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0
OCJBOOLMMGQPQU-UHFFFAOYSA-N,Clc1ccc(Cl)cc1,1
KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)Cc1ccccc1,0
VLCYCQAOQCDTCN-UHFFFAOYSA-N,NCCCC(N)(C(=O)O)C(F)F,0
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,1
FRCCEHPWNOQAEU-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,0
CKAPSXZOOQJIBF-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0
WTDRDQBEARUVNC-UHFFFAOYSA-N,NC(Cc1ccc(O)c(O)c1)C(=O)O,0
FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(=O)O,0
WDRYRZXSPDWGEB-UHFFFAOYSA-N,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,0
HNJJXZKZRAWDPF-UHFFFAOYSA-N,CN(C)CCN(Cc1cccs1)c1ccccn1,1
IAKOZHOLGAGEJT-UHFFFAOYSA-N,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,0
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,0
HAWPXGHAZFHHAD-UHFFFAOYSA-N,CN(CCCl)CCCl,1
WBNQDOYYEUMPFS-UHFFFAOYSA-N,CCN(CC)N=O,1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,0
CEMAWMOMDPGJMB-UHFFFAOYSA-N,C=CCOc1ccccc1OCC(O)CNC(C)C,0
YBRVSVVVWCFQMG-UHFFFAOYSA-N,Nc1ccc(Cc2ccc(N)cc2)cc1,1
JCYPECIVGRXBMO-UHFFFAOYSA-N,CN(C)c1ccc(N=Nc2ccccc2)cc1,1
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOc1ccc(NC(C)=O)cc1,1
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,0
QZVCTJOXCFMACW-UHFFFAOYSA-N,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,1
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,1
GHMLBKRAJCXXBS-UHFFFAOYSA-N,Oc1cccc(O)c1,0
ZBVKEHDGYSLCCC-UHFFFAOYSA-N,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,0
BGRDGMRNKXEXQD-UHFFFAOYSA-N,O=c1ccc(=O)[nH][nH]1,0
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,1
NHUHCSRWZMLRLA-UHFFFAOYSA-N,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0
OUDSBRTVNLOZBN-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0
JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
SZRPDCCEHVWOJX-UHFFFAOYSA-N,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,1
VYFYYTLLBUKUHU-UHFFFAOYSA-N,NCCc1ccc(O)c(O)c1,0
CYXKNKQEMFBLER-UHFFFAOYSA-N,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,0
NNYBQONXHNTVIJ-UHFFFAOYSA-N,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0
NRNCYVBFPDDJNE-UHFFFAOYSA-N,NC1=NC(=O)C(c2ccccc2)O1,0
HCFDWZZGGLSKEP-UHFFFAOYSA-N,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,1
KPSRODZRAIWAKH-UHFFFAOYSA-N,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,1
PWWVAXIEGOYWEE-UHFFFAOYSA-N,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0
HGUFODBRKLSHSI-UHFFFAOYSA-N,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1
FGLBSLMDCBOPQK-UHFFFAOYSA-N,CC(C)[N+](=O)[O-],0
ARHWPKZXBHOEEE-UHFFFAOYSA-N,C=CCOc1ccc(CC(=O)O)cc1Cl,0
POJWUDADGALRAB-UHFFFAOYSA-N,NC(=O)NC1NC(=O)NC1=O,0
XXROGKLTLUQVRX-UHFFFAOYSA-N,C=CCO,0
VEQOALNAAJBPNY-UHFFFAOYSA-N,Cc1cc(=O)n(-c2ccccc2)n1C,1
HFACYLZERDEVSX-UHFFFAOYSA-N,Nc1ccc(-c2ccc(N)cc2)cc1,1
COVZYZSDYWQREU-UHFFFAOYSA-N,CS(=O)(=O)OCCCCOS(C)(=O)=O,0
UGOFYAXVVVXMQT-UHFFFAOYSA-N,CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,0
MMOXZBCLCQITDF-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(C)c1,0
ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1,1
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
HEMJJKBWTPKOJG-UHFFFAOYSA-N,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
RWNKSTSCBHKHTB-UHFFFAOYSA-N,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1
GGLZPLKKBSSKCX-UHFFFAOYSA-N,CCSCCC(N)C(=O)O,1
WLHQHAUOOXYABV-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0
ANEBWFXPVPTEET-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,0
YECBIJXISLIIDS-UHFFFAOYSA-N,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1
VKYKSIONXSXAKP-UHFFFAOYSA-N,C1N2CN3CN1CN(C2)C3,0
BZLVMXJERCGZMT-UHFFFAOYSA-N,COC(C)(C)C,1
MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1
ICFJFFQQTFMIBG-UHFFFAOYSA-N,NC(N)=NC(N)=NCCc1ccccc1,0
DDBREPKUVSBGFI-UHFFFAOYSA-N,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0
KJFMBFZCATUALV-UHFFFAOYSA-N,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,1
DURULFYMVIFBIR-UHFFFAOYSA-N,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0
NBQKINXMPLXUET-UHFFFAOYSA-N,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,0
DBABZHXKTCFAPX-UHFFFAOYSA-N,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,0
ONWXNHPOAGOMTG-UHFFFAOYSA-N,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0
WJCNZQLZVWNLKY-UHFFFAOYSA-N,c1ccc2[nH]c(-c3cscn3)nc2c1,0
JOYRKODLDBILNP-UHFFFAOYSA-N,CCOC(N)=O,1
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,1
VVQNEPGJFQJSBK-UHFFFAOYSA-N,C=C(C)C(=O)OC,0
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,0
KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,0
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,0
GGLZPLKKBSSKCX-YFKPBYRVSA-N,CCSCC[C@H](N)C(=O)O,1
NKANXQFJJICGDU-QPLCGJKRSA-N,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
DUGOZIWVEXMGBE-UHFFFAOYSA-N,COC(=O)C(c1ccccc1)C1CCCCN1,0
VYMDGNCVAMGZFE-UHFFFAOYSA-N,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
CGIGDMFJXJATDK-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1
JSDRRTOADPPCHY-HSQYWUDLSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,0
SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0
CJCSPKMFHVPWAR-JTQLQIEISA-N,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0
SGUAFYQXFOLMHL-ACJLOTCBSA-N,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,0
PWKSKIMOESPYIA-BYPYZUCNSA-N,CC(=O)N[C@@H](CS)C(=O)O,0
AOJJSUZBOXZQNB-TZSSRYMLSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1
VGKDLMBJGBXTGI-SJCJKPOMSA-N,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0
NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1,0
WFJIVOKAWHGMBH-UHFFFAOYSA-N,CCCCCCc1ccc(O)cc1O,0
YQUVCSBJEUQKSH-UHFFFAOYSA-N,O=C(O)c1ccc(O)c(O)c1,0
IYRMWMYZSQPJKC-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,0
GVJHHUAWPYXKBD-UHFFFAOYSA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
RKUNBYITZUJHSG-PJPHBNEVSA-N,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,0
WIIZWVCIJKGZOK-RKDXNWHRSA-N,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
DJBNUMBKLMJRSA-UHFFFAOYSA-N,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0
SMEROWZSTRWXGI-HVATVPOCSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
USSIQXCVUWKGNF-UHFFFAOYSA-N,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0
JUVIOZPCNVVQFO-HBGVWJBISA-N,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0
WFWLQNSHRPWKFK-UHFFFAOYSA-N,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0
ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1,1
VIROVYVQCGLCII-UHFFFAOYSA-N,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0
CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,1
BMKDZUISNHGIBY-UHFFFAOYSA-N,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1
YLQBMQCUIZJEEH-UHFFFAOYSA-N,c1ccoc1,1
ZBMZVLHSJCTVON-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0
XWTYSIMOBUGWOL-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,1
NFACJZMKEDPNKN-UHFFFAOYSA-N,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0
